date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,deathIncrease,deathCumulative
2020-03-07,202010,AZ,04,1036.0,990.0,1664.0,780.0,197.0,-106.0,3.985794174870074,0.025346559439246484,0.021421245637465048,,3.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,AZ,04,766.0,1442.0,1092.0,632.0,-577.0,70.0,4.6378197215674914,0.02335951434740432,0.019471109504238943,,7.0,77.0,84.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-21,202012,AZ,04,-1590.0,1538.0,195.0,-234.0,-2330.0,649.0,4.482511014433915,0.023249992176987824,0.01866537788960296,,92.0,119.0,211.0,0.0,0.0,0.0,0.0,1.0,15.0
2020-03-28,202013,AZ,04,-3916.0,-1039.0,-1234.0,-2146.0,-3439.0,1097.0,2.4262925768364623,0.020496291892230185,0.015327346914682469,,769.0,7215.0,7984.0,0.0,0.0,0.0,0.0,14.0,52.0
2020-04-04,202014,AZ,04,-4164.0,-1368.0,-1671.0,-2611.0,-3935.0,1191.0,0.4238571420015664,0.01979222079669556,0.011828464756620357,,1146.0,17686.0,18832.0,0.0,0.0,0.0,0.0,37.0,117.0
2020-04-11,202015,AZ,04,-4162.0,-1555.0,-2457.0,-3020.0,-4260.0,1278.0,0.3924055104523455,0.0175861313640204,0.009685012063838736,,1374.0,11996.0,13370.0,0.0,0.0,0.0,0.0,65.0,180.0
2020-04-18,202016,AZ,04,-3932.0,-1809.0,-2228.0,-2838.0,-4148.0,1237.0,0.1644601742838971,0.014347404324561127,0.00795106582355068,,1326.0,9189.0,10515.0,1157.0,1706.0,2172.0,0.0,63.0,273.0
2020-04-25,202017,AZ,04,-3391.0,-1352.0,-1348.0,-2430.0,-4017.0,1186.0,0.2917789620690219,0.009700535094032604,0.006445852917087856,,1561.0,9902.0,11463.0,1322.0,2103.0,8509.0,1022.0,93.0,330.0
2020-05-02,202018,AZ,04,-2895.0,-736.0,-1152.0,-2174.0,-3920.0,996.0,0.0,0.00265982413868636,0.001412981723468778,,2084.0,13405.0,15489.0,1363.0,2164.0,10318.0,317.0,57.0,
2020-05-09,202019,AZ,04,,,,,,,,,,,2596.0,48347.0,50943.0,1349.0,2038.0,12746.0,175.0,532.0,532.0
